STATIONS_ID, MESS_DATUM,date, QUALITAETS_NIVEAU, LUFTTEMPERATUR,DAMPFDRUCK,BEDECKUNGSGRAD,LUFTDRUCK_STATIONSHOEHE,REL_FEUCHTE, WINDGESCHWINDIGKEIT, LUFTTEMPERATUR_MAXIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMP_AM_ERDB_MINIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE,NIEDERSCHLAGSHOEHE_IND,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
1766,20000622,6/22/00,10,17.8,13,6.7,1008.2,65,3.9,22.8,14.3,14.5,12.4,0.2,6,5.3,0,eor
1766,20000623,6/23/00,10,15.6,13.8,7,1009,77,5.5,20.3,13.9,12.7,14.6,9.8,6,2.6,0,eor
1766,20000624,6/24/00,10,13.2,12.9,7,1007.2,86,4.2,16.4,10.8,10.8,13.4,1.8,6,2,0,eor
1766,20000625,6/25/00,10,12.4,11.2,7.3,1010.7,77,4.8,17.4,10.4,9.1,12,0.8,6,1.6,0,eor
1766,20000626,6/26/00,10,12.2,9.8,5.7,1015.6,68,4.6,16.4,9.5,9,10.8,0,6,1.4,0,eor
1766,20000627,6/27/00,10,12.7,8.7,4,1015.3,58,4.1,18.2,5.5,3.6,12,0,0,8.1,0,eor
1766,20000628,6/28/00,10,12.6,9.2,6.3,1012.5,63,3.5,16.9,5.1,2.3,9.2,0,0,1.2,0,eor
1766,20000629,6/29/00,10,11.8,9.4,6.3,1012.2,67,3.7,16.8,10.2,10,10.4,0,0,4.1,0,eor
1766,20000630,6/30/00,10,14.8,9.8,2.3,1008.5,58,3,20,8,5.3,9.1,0,0,8.1,0,eor
1766,20000701,7/1/00,10,14,13.6,6.7,1004.8,85,1.2,16.7,6.9,3.8,4.9,2.7,6,1.6,0,eor
1766,20000702,7/2/00,10,20,16.1,6,1004.5,72,1.4,24.9,12,9.5,4.7,0.1,6,6.1,0,eor
1766,20000703,7/3/00,10,18.2,17.7,7,1002.3,81,1.6,24.4,15.2,13.1,9,2.1,6,3,0,eor
1766,20000704,7/4/00,10,17.4,16.9,7.7,999.1,85,1.6,23.8,11,9.1,10.2,19,6,2.8,0,eor
1766,20000705,7/5/00,10,15.7,17.1,7.3,1005.7,95,3,18.8,14.6,15.2,9.6,6.9,6,0.7,0,eor
1766,20000706,7/6/00,10,16,13.4,4.7,1013,74,2.9,21.4,12.9,12.9,7.1,0,0,6.1,0,eor
1766,20000707,7/7/00,10,14,11.3,7.3,1008.3,69,4.4,18.2,12.1,10.8,10.1,0,6,1.8,0,eor
